"uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","trapHours","nightOrDay","eventID","sampleID","sampleCode","samplingProtocolVersion","sampleTiming","fanStatus","catchCupStatus","dryIceStatus","sampleCondition","targetTaxaPresent","recordedBy","dataQF"
"986ec317-43a0-4b64-bbac-34a73b030be5","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","distributed","deciduousForest",42.425212,-72.217084,"WGS84",10.1,171,0.1,"2017-02-28T20:26Z","2017-03-01T12:31Z",16.1,"night","HARV.2017.10",NA,NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","N","thillman@battelleecology.org",NA
"1f7c311c-14c4-4f96-9316-c5daeaf08c8f","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","distributed","evergreenForest",42.42152,-72.220399,"WGS84",10.3,170.5,0.5,"2017-02-28T20:33Z","2017-03-01T12:35Z",16,"night","HARV.2017.10",NA,NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","N","thillman@battelleecology.org",NA
"abaf275f-e5b3-4dad-90e4-344e9fd728ad","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","distributed","deciduousForest",42.538136,-72.193774,"WGS84",10.5,335.8,0.6,"2017-02-28T21:05Z","2017-03-01T13:03Z",16,"night","HARV.2017.10",NA,NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","N","thillman@battelleecology.org",NA
"8653363d-5cfa-47d4-b5a5-fee73bfd4690","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","distributed","deciduousForest",42.538136,-72.193774,"WGS84",10.5,335.8,0.6,"2017-04-04T20:07Z","2017-04-05T13:00Z",16.9,"night","HARV.2017.15","",NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","N","adavila@battelleecology.org",NA
"a804ebb5-a984-488a-8d57-e8984c67a675","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","distributed","deciduousForest",42.425212,-72.217084,"WGS84",10.1,171,0.1,"2017-04-04T20:28Z","2017-04-05T13:20Z",16.9,"night","HARV.2017.15","",NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","N","adavila@battelleecology.org",NA
"bf3687eb-3233-4e26-928a-ca86eb844611","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","distributed","evergreenForest",42.42152,-72.220399,"WGS84",10.3,170.5,0.5,"2017-04-04T20:31Z","2017-04-05T13:24Z",16.9,"night","HARV.2017.15","",NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","N","adavila@battelleecology.org",NA
"f5666eea-061d-45aa-a3da-a27f78ff40d4","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","distributed","deciduousForest",42.538136,-72.193774,"WGS84",10.5,335.8,0.6,"2017-04-11T20:44Z","2017-04-12T12:30Z",15.8,"night","HARV.2017.16","HARV_073.20170412.0830",NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","Y","thillman@battelleecology.org",NA
"c6bffe31-5ae6-4101-a4a9-d335e963c2e1","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","distributed","deciduousForest",42.425212,-72.217084,"WGS84",10.1,171,0.1,"2017-04-11T21:12Z","2017-04-12T12:53Z",15.7,"night","HARV.2017.16","HARV_075.20170412.0853",NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","Y","thillman@battelleecology.org",NA
"7f7e2231-26f9-4fc6-9155-1a37484b83ba","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","distributed","evergreenForest",42.42152,-72.220399,"WGS84",10.3,170.5,0.5,"2017-04-11T21:20Z","2017-04-12T13:01Z",15.7,"night","HARV.2017.16","HARV_079.20170412.0901",NA,"NEON.DOC.014049vG","Off season","On","OK","Present","No known compromise","Y","thillman@battelleecology.org",NA
"23af8134-f7cc-4072-8567-55a5009223b6","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","distributed","deciduousForest",42.428536,-72.246364,"WGS84",10.1,218.1,0.2,"2017-04-18T20:17Z","2017-04-19T11:59Z",15.7,"night","HARV.2017.17","",NA,"NEON.DOC.014049vH","Field season","On","OK","Present","No known compromise","N","thillman@battelleecology.org",NA
"93291145-a0fa-4b31-ba49-7f652bb05e99","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","distributed","mixedForest",42.441701,-72.23886,"WGS84",10.3,286.7,0.6,"2017-04-18T21:06Z","2017-04-19T11:50Z",14.7,"night","HARV.2017.17","",NA,"NEON.DOC.014049vH","Field season","On","OK","Present","No known compromise","N","thillman@battelleecology.org",NA
