"uid","namedLocation","domainID","siteID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","testedDate","testingVialID","deprecatedVialID","sampleCondition","testProtocolVersion","testMethod","testResult","testPathogenName","taxonID","testNumber","finalResult","locus","percentIdentity","sequenceDatabase","sequenceDatabaseID","extractDepleted","remarks","testedBy","laboratoryName"
"6719489b-0915-4732-8442-f40a99cfd3b1","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-05-22T20:26Z","2017-05-24T11:54Z","2018-10-03T16:00Z","BART.2017.21.AEDCOM.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Orthobunyavirus sp.","BUNV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"b8c0c833-4f9a-40c3-a7b7-bfa86f9f9662","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-05-22T20:26Z","2017-05-24T11:54Z","2018-10-03T16:00Z","BART.2017.21.AEDCOM.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Alphavirus sp.","ALPHV",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"8ee96343-556c-4a75-a5ea-1b77dbb6e680","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-05-22T20:26Z","2017-05-24T11:54Z","2018-10-03T16:00Z","BART.2017.21.AEDCOM.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Flavivirus sp.","FLAV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"fe8c8d12-8a00-428f-ba03-adb071e89c34","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-05-22T21:48Z","2017-05-24T11:54Z","2018-10-03T16:00Z","BART.2017.21.AEDPUN.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Flavivirus sp.","FLAV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"c2b9b2ae-f1e0-42d5-befa-5d4df257d2e4","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-05-22T21:48Z","2017-05-24T11:54Z","2018-10-03T16:00Z","BART.2017.21.AEDPUN.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Orthobunyavirus sp.","BUNV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"9f54ea3a-0203-4ab0-8019-981cdd0dd559","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-05-22T21:48Z","2017-05-24T11:54Z","2018-10-03T16:00Z","BART.2017.21.AEDPUN.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Alphavirus sp.","ALPHV",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"d73a56d1-6d6a-4416-bb4a-20d411212bba","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-06-19T20:34Z","2017-06-21T11:24Z","2018-10-03T16:00Z","BART.2017.25.AEDCOM.F.T.15",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Orthobunyavirus sp.","BUNV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"9e7f1174-e3a7-414d-9af0-91f3e3fdbf6e","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-06-19T20:34Z","2017-06-21T11:24Z","2018-10-03T16:00Z","BART.2017.25.AEDEXC.F.T.01",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Orthobunyavirus sp.","BUNV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"6a0e8ca5-be2e-45e0-988a-6bcd263d6372","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-06-19T20:34Z","2017-06-21T11:24Z","2018-10-03T16:00Z","BART.2017.25.AEDCOM.F.T.09",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Flavivirus sp.","FLAV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
"a5b6cde2-724e-4848-863d-5cae4bb9e04a","BART","D01","BART",NA,44.063889,-71.287375,"WGS84",NA,274,NA,"2017-06-19T20:34Z","2017-06-21T11:24Z","2018-10-03T16:00Z","BART.2017.25.AEDCOM.F.T.08",NA,"No known compromise","LMZ_Pathogen_testing_SOP_2018-07-12","PCR","Negative","Orthobunyavirus sp.","BUNV1",1,"Y",NA,NA,NA,NA,NA,NA,"EUlcTGA85SUDL06h3VKQcSAJmKEiuLkw","University of Massachusetts Laboratory of Medical Zoology"
